"Organisation_Code","Specialty","Number_Of_Beds","Effective_Snapshot_Date"
"RDY",147,0,"2018-09-30"
"RDY",340,0,"2018-09-30"
"RDY",120,0,"2018-09-30"
"RDY",711,5.815217,"2018-09-30"
"RDY",833,0,"2018-09-30"
"RDY",352,0,"2018-09-30"
"RDY",311,0,"2018-09-30"
"RDY",824,0,"2018-09-30"
"RDY",361,0,"2018-09-30"
"RDY",451,0,"2018-09-30"
"RDY",326,0,"2018-09-30"
"RDY",330,0,"2018-09-30"
"RDY",710,145.684783,"2018-09-30"
"RDY",149,0,"2018-09-30"
"RDY",410,0,"2018-09-30"
"RDY",141,0,"2018-09-30"
"RDY",170,0,"2018-09-30"
"RDY",712,0,"2018-09-30"
"RDY",360,0,"2018-09-30"
"RDY",314,0,"2018-09-30"
"RDY",713,0,"2018-09-30"
"RDY",400,0,"2018-09-30"
"RDY",303,0,"2018-09-30"
"RDY",143,0,"2018-09-30"
"RDY",302,0,"2018-09-30"
"RDY",310,0,"2018-09-30"
"RDY",325,0,"2018-09-30"
"RDY",100,0,"2018-09-30"
"RDY",504,0,"2018-09-30"
"RDY",430,0,"2018-09-30"
"RDY",110,0,"2018-09-30"
"RDY",301,0,"2018-09-30"
"RDY",820,0,"2018-09-30"
"RDY",420,0,"2018-09-30"
"RDY",821,0,"2018-09-30"
"RDY",350,0,"2018-09-30"
"RDY",171,0,"2018-09-30"
"RDY",148,0,"2018-09-30"
"RDY",300,0,"2018-09-30"
"RDY",150,0,"2018-09-30"
"RDY",401,0,"2018-09-30"
"RDY",140,0,"2018-09-30"
"RDY",830,0,"2018-09-30"
"RDY",180,0,"2018-09-30"
"RDY",370,0,"2018-09-30"
"RDY",460,0,"2018-09-30"
"RDY",160,0,"2018-09-30"
"RDY",312,0,"2018-09-30"
"RDY",320,0,"2018-09-30"
"RDY",371,0,"2018-09-30"
"RDY",901,0,"2018-09-30"
"RDY",130,0,"2018-09-30"
"RDY",810,0,"2018-09-30"
"RDY",502,0,"2018-09-30"
"RDY",101,0,"2018-09-30"
"RDY",421,0,"2018-09-30"
"RDY",146,0,"2018-09-30"
"RDY",700,0,"2018-09-30"
"RDY",900,0,"2018-09-30"
"RDY",315,0,"2018-09-30"
"RDY",715,66.032609,"2018-09-30"
"RDY",501,0,"2018-09-30"
"RDY",305,0,"2018-09-30"
"RDY",450,0,"2018-09-30"
"RDY",834,0,"2018-09-30"
"RDY",142,0,"2018-09-30"
"RDY",822,0,"2018-09-30"
"RDY",145,0,"2018-09-30"
"RDY",192,0,"2018-09-30"
"RDY",321,0,"2018-09-30"
"RDY",823,0,"2018-09-30"
"RDY",304,0,"2018-09-30"
"RDY",410,0,"2018-06-30"
"RDY",710,143.10989,"2018-06-30"
"RDY",400,0,"2018-06-30"
"RDY",320,0,"2018-06-30"
"RDY",148,0,"2018-06-30"
"RDY",100,0,"2018-06-30"
"RDY",326,0,"2018-06-30"
"RDY",315,0,"2018-06-30"
"RDY",314,0,"2018-06-30"
"RDY",713,0,"2018-06-30"
"RDY",142,0,"2018-06-30"
"RDY",830,0,"2018-06-30"
"RDY",823,0,"2018-06-30"
"RDY",715,63.494505,"2018-06-30"
"RDY",901,0,"2018-06-30"
"RDY",321,0,"2018-06-30"
"RDY",304,0,"2018-06-30"
"RDY",502,0,"2018-06-30"
"RDY",401,0,"2018-06-30"
"RDY",180,0,"2018-06-30"
"RDY",371,0,"2018-06-30"
"RDY",302,0,"2018-06-30"
"RDY",450,0,"2018-06-30"
"RDY",361,0,"2018-06-30"
"RDY",140,0,"2018-06-30"
"RDY",831,0,"2018-06-30"
"RDY",305,0,"2018-06-30"
"RDY",824,0,"2018-06-30"
"RDY",822,0,"2018-06-30"
"RDY",430,0,"2018-06-30"
"RDY",360,0,"2018-06-30"
"RDY",810,0,"2018-06-30"
"RDY",300,0,"2018-06-30"
"RDY",311,0,"2018-06-30"
"RDY",110,0,"2018-06-30"
"RDY",160,0,"2018-06-30"
"RDY",325,0,"2018-06-30"
"RDY",313,0,"2018-06-30"
"RDY",350,0,"2018-06-30"
"RDY",143,0,"2018-06-30"
"RDY",833,0,"2018-06-30"
"RDY",800,0,"2018-06-30"
"RDY",190,0,"2018-06-30"
"RDY",120,0,"2018-06-30"
"RDY",170,0,"2018-06-30"
"RDY",310,0,"2018-06-30"
"RDY",101,0,"2018-06-30"
"RDY",711,6.098901,"2018-06-30"
"RDY",312,0,"2018-06-30"
"RDY",700,0,"2018-06-30"
"RDY",420,0,"2018-06-30"
"RDY",712,0,"2018-06-30"
"RDY",171,0,"2018-06-30"
"RDY",370,0,"2018-06-30"
"RDY",330,0,"2018-06-30"
"RDY",820,0,"2018-06-30"
"RDY",504,0,"2018-06-30"
"RDY",150,0,"2018-06-30"
"RDY",900,0,"2018-06-30"
"RDY",141,0,"2018-06-30"
"RDY",301,0,"2018-06-30"
"RDY",149,0,"2018-06-30"
"RDY",834,0,"2018-06-30"
"RDY",340,0,"2018-06-30"
"RDY",821,0,"2018-06-30"
"RDY",421,0,"2018-06-30"
"RDY",352,0,"2018-06-30"
"RDY",303,0,"2018-06-30"
"RDY",501,0,"2018-06-30"
"RDY",147,0,"2018-06-30"
"RDY",130,0,"2018-06-30"
"RDY",460,0,"2018-06-30"
"RDY",146,0,"2018-06-30"
"RDY",451,0,"2018-06-30"
"RDY",145,0,"2018-06-30"
"RDY",192,0,"2018-06-30"
"RDY",301,0,"2018-03-31"
"RDY",400,0,"2018-03-31"
"RDY",330,0,"2018-03-31"
"RDY",710,140.555556,"2018-03-31"
"RDY",143,0,"2018-03-31"
"RDY",833,0,"2018-03-31"
"RDY",800,0,"2018-03-31"
"RDY",700,0,"2018-03-31"
"RDY",901,0,"2018-03-31"
"RDY",715,61.922222,"2018-03-31"
"RDY",830,0,"2018-03-31"
"RDY",310,0,"2018-03-31"
"RDY",504,0,"2018-03-31"
"RDY",340,0,"2018-03-31"
"RDY",100,0,"2018-03-31"
"RDY",410,0,"2018-03-31"
"RDY",300,0,"2018-03-31"
"RDY",160,0,"2018-03-31"
"RDY",370,0,"2018-03-31"
"RDY",325,0,"2018-03-31"
"RDY",820,0,"2018-03-31"
"RDY",148,0,"2018-03-31"
"RDY",302,0,"2018-03-31"
"RDY",171,0,"2018-03-31"
"RDY",190,0,"2018-03-31"
"RDY",711,8.5,"2018-03-31"
"RDY",149,0,"2018-03-31"
"RDY",352,0,"2018-03-31"
"RDY",110,0,"2018-03-31"
"RDY",502,0,"2018-03-31"
"RDY",314,0,"2018-03-31"
"RDY",130,0,"2018-03-31"
"RDY",140,0,"2018-03-31"
"RDY",824,0,"2018-03-31"
"RDY",142,0,"2018-03-31"
"RDY",146,0,"2018-03-31"
"RDY",900,0,"2018-03-31"
"RDY",315,0,"2018-03-31"
"RDY",303,0,"2018-03-31"
"RDY",170,0,"2018-03-31"
"RDY",350,0,"2018-03-31"
"RDY",101,0,"2018-03-31"
"RDY",713,0,"2018-03-31"
"RDY",822,0,"2018-03-31"
"RDY",712,0,"2018-03-31"
"RDY",371,0,"2018-03-31"
"RDY",326,0,"2018-03-31"
"RDY",821,0,"2018-03-31"
"RDY",420,0,"2018-03-31"
"RDY",141,0,"2018-03-31"
"RDY",360,0,"2018-03-31"
"RDY",120,0,"2018-03-31"
"RDY",501,0,"2018-03-31"
"RDY",145,0,"2018-03-31"
"RDY",834,0,"2018-03-31"
"RDY",192,0,"2018-03-31"
"RDY",823,0,"2018-03-31"
"RDY",305,0,"2018-03-31"
"RDY",401,0,"2018-03-31"
"RDY",304,0,"2018-03-31"
"RDY",430,0,"2018-03-31"
"RDY",313,0,"2018-03-31"
"RDY",312,0,"2018-03-31"
"RDY",450,0,"2018-03-31"
"RDY",421,0,"2018-03-31"
"RDY",831,0,"2018-03-31"
"RDY",311,0,"2018-03-31"
"RDY",180,0,"2018-03-31"
"RDY",460,0,"2018-03-31"
"RDY",361,0,"2018-03-31"
"RDY",321,0,"2018-03-31"
"RDY",810,0,"2018-03-31"
"RDY",451,0,"2018-03-31"
"RDY",150,0,"2018-03-31"
"RDY",147,0,"2018-03-31"
"RDY",320,0,"2018-03-31"
"RDY",421,0,"2017-12-31"
"RDY",504,0,"2017-12-31"
"RDY",410,0,"2017-12-31"
"RDY",321,0,"2017-12-31"
"RDY",460,0,"2017-12-31"
"RDY",400,0,"2017-12-31"
"RDY",310,0,"2017-12-31"
"RDY",326,0,"2017-12-31"
"RDY",110,0,"2017-12-31"
"RDY",170,0,"2017-12-31"
"RDY",313,0,"2017-12-31"
"RDY",340,0,"2017-12-31"
"RDY",824,0,"2017-12-31"
"RDY",823,0,"2017-12-31"
"RDY",305,0,"2017-12-31"
"RDY",180,0,"2017-12-31"
"RDY",303,0,"2017-12-31"
"RDY",834,0,"2017-12-31"
"RDY",302,0,"2017-12-31"
"RDY",350,0,"2017-12-31"
"RDY",830,0,"2017-12-31"
"RDY",810,0,"2017-12-31"
"RDY",320,0,"2017-12-31"
"RDY",800,0,"2017-12-31"
"RDY",901,0,"2017-12-31"
"RDY",822,0,"2017-12-31"
"RDY",420,0,"2017-12-31"
"RDY",141,0,"2017-12-31"
"RDY",171,0,"2017-12-31"
"RDY",130,0,"2017-12-31"
"RDY",700,0,"2017-12-31"
"RDY",149,0,"2017-12-31"
"RDY",146,0,"2017-12-31"
"RDY",360,0,"2017-12-31"
"RDY",711,8.543478,"2017-12-31"
"RDY",192,0,"2017-12-31"
"RDY",145,0,"2017-12-31"
"RDY",370,0,"2017-12-31"
"RDY",100,0,"2017-12-31"
"RDY",712,0,"2017-12-31"
"RDY",450,0,"2017-12-31"
"RDY",831,0,"2017-12-31"
"RDY",311,0,"2017-12-31"
"RDY",190,0,"2017-12-31"
"RDY",501,0,"2017-12-31"
"RDY",900,0,"2017-12-31"
"RDY",821,0,"2017-12-31"
"RDY",833,0,"2017-12-31"
"RDY",304,0,"2017-12-31"
"RDY",143,0,"2017-12-31"
"RDY",361,0,"2017-12-31"
"RDY",142,0,"2017-12-31"
"RDY",352,0,"2017-12-31"
"RDY",312,0,"2017-12-31"
"RDY",820,0,"2017-12-31"
"RDY",150,0,"2017-12-31"
"RDY",401,0,"2017-12-31"
"RDY",301,0,"2017-12-31"
"RDY",120,0,"2017-12-31"
"RDY",430,0,"2017-12-31"
"RDY",300,0,"2017-12-31"
"RDY",148,0,"2017-12-31"
"RDY",147,0,"2017-12-31"
"RDY",140,0,"2017-12-31"
"RDY",325,0,"2017-12-31"
"RDY",101,0,"2017-12-31"
"RDY",502,0,"2017-12-31"
"RDY",330,0,"2017-12-31"
"RDY",710,141.554348,"2017-12-31"
"RDY",371,0,"2017-12-31"
"RDY",160,0,"2017-12-31"
"RDY",315,0,"2017-12-31"
"RDY",715,61.597826,"2017-12-31"
"RDY",314,0,"2017-12-31"
"RDY",713,0,"2017-12-31"
"RDY",451,0,"2017-12-31"
"RDY",420,0,"2015-12-31"
"RDY",140,0,"2015-12-31"
"RDY",460,0,"2015-12-31"
"RDY",370,0,"2015-12-31"
"RDY",504,0,"2015-12-31"
"RDY",450,0,"2015-12-31"
"RDY",360,0,"2015-12-31"
"RDY",713,0,"2015-12-31"
"RDY",311,0,"2015-12-31"
"RDY",421,0,"2015-12-31"
"RDY",900,0,"2015-12-31"
"RDY",823,0,"2015-12-31"
"RDY",321,0,"2015-12-31"
"RDY",313,0,"2015-12-31"
"RDY",330,0,"2015-12-31"
"RDY",170,0,"2015-12-31"
"RDY",711,9.141304,"2015-12-31"
"RDY",148,0,"2015-12-31"
"RDY",700,0,"2015-12-31"
"RDY",710,132.630435,"2015-12-31"
"RDY",834,0,"2015-12-31"
"RDY",325,0,"2015-12-31"
"RDY",130,0,"2015-12-31"
"RDY",300,0,"2015-12-31"
"RDY",502,0,"2015-12-31"
"RDY",712,0,"2015-12-31"
"RDY",310,0,"2015-12-31"
"RDY",810,0,"2015-12-31"
"RDY",145,0,"2015-12-31"
"RDY",410,0,"2015-12-31"
"RDY",320,0,"2015-12-31"
"RDY",831,0,"2015-12-31"
"RDY",192,0,"2015-12-31"
"RDY",302,0,"2015-12-31"
"RDY",401,0,"2015-12-31"
"RDY",101,0,"2015-12-31"
"RDY",171,0,"2015-12-31"
"RDY",305,0,"2015-12-31"
"RDY",800,0,"2015-12-31"
"RDY",430,0,"2015-12-31"
"RDY",142,0,"2015-12-31"
"RDY",315,0,"2015-12-31"
"RDY",303,0,"2015-12-31"
"RDY",326,0,"2015-12-31"
"RDY",150,0,"2015-12-31"
"RDY",350,0,"2015-12-31"
"RDY",180,0,"2015-12-31"
"RDY",147,0,"2015-12-31"
"RDY",340,0,"2015-12-31"
"RDY",312,0,"2015-12-31"
"RDY",821,0,"2015-12-31"
"RDY",304,0,"2015-12-31"
"RDY",715,62.934783,"2015-12-31"
"RDY",361,0,"2015-12-31"
"RDY",451,0,"2015-12-31"
"RDY",110,0,"2015-12-31"
"RDY",371,0,"2015-12-31"
"RDY",820,0,"2015-12-31"
"RDY",100,0,"2015-12-31"
"RDY",143,0,"2015-12-31"
"RDY",400,0,"2015-12-31"
"RDY",146,0,"2015-12-31"
"RDY",149,0,"2015-12-31"
"RDY",824,0,"2015-12-31"
"RDY",141,0,"2015-12-31"
"RDY",314,0,"2015-12-31"
"RDY",822,0,"2015-12-31"
"RDY",301,0,"2015-12-31"
"RDY",830,0,"2015-12-31"
"RDY",901,0,"2015-12-31"
"RDY",120,0,"2015-12-31"
"RDY",160,0,"2015-12-31"
"RDY",352,0,"2015-12-31"
"RDY",190,0,"2015-12-31"
"RDY",501,0,"2015-12-31"
"RDY",833,0,"2015-12-31"
"RDY",300,0,"2015-09-30"
"RDY",360,0,"2015-09-30"
"RDY",190,0,"2015-09-30"
"RDY",450,0,"2015-09-30"
"RDY",401,0,"2015-09-30"
"RDY",350,0,"2015-09-30"
"RDY",325,0,"2015-09-30"
"RDY",120,0,"2015-09-30"
"RDY",460,0,"2015-09-30"
"RDY",305,0,"2015-09-30"
"RDY",410,0,"2015-09-30"
"RDY",330,0,"2015-09-30"
"RDY",302,0,"2015-09-30"
"RDY",149,0,"2015-09-30"
"RDY",901,0,"2015-09-30"
"RDY",821,0,"2015-09-30"
"RDY",340,0,"2015-09-30"
"RDY",831,0,"2015-09-30"
"RDY",315,0,"2015-09-30"
"RDY",140,0,"2015-09-30"
"RDY",430,0,"2015-09-30"
"RDY",304,0,"2015-09-30"
"RDY",301,0,"2015-09-30"
"RDY",150,0,"2015-09-30"
"RDY",141,0,"2015-09-30"
"RDY",192,0,"2015-09-30"
"RDY",170,0,"2015-09-30"
"RDY",326,0,"2015-09-30"
"RDY",311,0,"2015-09-30"
"RDY",700,0,"2015-09-30"
"RDY",352,0,"2015-09-30"
"RDY",313,0,"2015-09-30"
"RDY",101,0,"2015-09-30"
"RDY",145,0,"2015-09-30"
"RDY",421,0,"2015-09-30"
"RDY",147,0,"2015-09-30"
"RDY",502,0,"2015-09-30"
"RDY",710,127.684783,"2015-09-30"
"RDY",143,0,"2015-09-30"
"RDY",130,0,"2015-09-30"
"RDY",321,0,"2015-09-30"
"RDY",830,0,"2015-09-30"
"RDY",314,0,"2015-09-30"
"RDY",110,0,"2015-09-30"
"RDY",451,0,"2015-09-30"
"RDY",310,0,"2015-09-30"
"RDY",504,0,"2015-09-30"
"RDY",833,0,"2015-09-30"
"RDY",715,62.054348,"2015-09-30"
"RDY",810,0,"2015-09-30"
"RDY",370,0,"2015-09-30"
"RDY",320,0,"2015-09-30"
"RDY",820,0,"2015-09-30"
"RDY",160,0,"2015-09-30"
"RDY",303,0,"2015-09-30"
"RDY",400,0,"2015-09-30"
"RDY",822,0,"2015-09-30"
"RDY",501,0,"2015-09-30"
"RDY",823,0,"2015-09-30"
"RDY",180,0,"2015-09-30"
"RDY",146,0,"2015-09-30"
"RDY",420,0,"2015-09-30"
"RDY",312,0,"2015-09-30"
"RDY",100,0,"2015-09-30"
"RDY",361,0,"2015-09-30"
"RDY",834,0,"2015-09-30"
"RDY",800,0,"2015-09-30"
"RDY",711,9.195652,"2015-09-30"
"RDY",171,0,"2015-09-30"
"RDY",371,0,"2015-09-30"
"RDY",824,0,"2015-09-30"
"RDY",712,0,"2015-09-30"
"RDY",142,0,"2015-09-30"
"RDY",713,0,"2015-09-30"
"RDY",148,0,"2015-09-30"
"RDY",900,0,"2015-09-30"
"RDY",321,0,"2015-06-30"
"RDY",305,0,"2015-06-30"
"RDY",130,0,"2015-06-30"
"RDY",715,0,"2015-06-30"
"RDY",325,0,"2015-06-30"
"RDY",310,0,"2015-06-30"
"RDY",700,0,"2015-06-30"
"RDY",421,0,"2015-06-30"
"RDY",822,0,"2015-06-30"
"RDY",450,0,"2015-06-30"
"RDY",147,0,"2015-06-30"
"RDY",501,0,"2015-06-30"
"RDY",304,0,"2015-06-30"
"RDY",171,0,"2015-06-30"
"RDY",410,0,"2015-06-30"
"RDY",350,0,"2015-06-30"
"RDY",148,0,"2015-06-30"
"RDY",370,0,"2015-06-30"
"RDY",303,0,"2015-06-30"
"RDY",300,0,"2015-06-30"
"RDY",100,0,"2015-06-30"
"RDY",371,0,"2015-06-30"
"RDY",360,0,"2015-06-30"
"RDY",141,0,"2015-06-30"
"RDY",810,0,"2015-06-30"
"RDY",313,0,"2015-06-30"
"RDY",326,0,"2015-06-30"
"RDY",311,0,"2015-06-30"
"RDY",340,0,"2015-06-30"
"RDY",451,0,"2015-06-30"
"RDY",330,0,"2015-06-30"
"RDY",301,0,"2015-06-30"
"RDY",120,0,"2015-06-30"
"RDY",831,0,"2015-06-30"
"RDY",400,0,"2015-06-30"
"RDY",110,0,"2015-06-30"
"RDY",901,0,"2015-06-30"
"RDY",504,0,"2015-06-30"
"RDY",302,0,"2015-06-30"
"RDY",320,0,"2015-06-30"
"RDY",361,0,"2015-06-30"
"RDY",160,0,"2015-06-30"
"RDY",352,0,"2015-06-30"
"RDY",824,0,"2015-06-30"
"RDY",713,0,"2015-06-30"
"RDY",711,0,"2015-06-30"
"RDY",430,0,"2015-06-30"
"RDY",821,0,"2015-06-30"
"RDY",710,0,"2015-06-30"
"RDY",900,0,"2015-06-30"
"RDY",180,0,"2015-06-30"
"RDY",823,0,"2015-06-30"
"RDY",712,0,"2015-06-30"
"RDY",190,0,"2015-06-30"
"RDY",145,0,"2015-06-30"
"RDY",834,0,"2015-06-30"
"RDY",315,0,"2015-06-30"
"RDY",170,0,"2015-06-30"
"RDY",143,0,"2015-06-30"
"RDY",833,0,"2015-06-30"
"RDY",149,0,"2015-06-30"
"RDY",101,0,"2015-06-30"
"RDY",192,0,"2015-06-30"
"RDY",502,0,"2015-06-30"
"RDY",150,0,"2015-06-30"
"RDY",420,0,"2015-06-30"
"RDY",142,0,"2015-06-30"
"RDY",820,0,"2015-06-30"
"RDY",830,0,"2015-06-30"
"RDY",312,0,"2015-06-30"
"RDY",146,0,"2015-06-30"
"RDY",460,0,"2015-06-30"
"RDY",314,0,"2015-06-30"
"RDY",401,0,"2015-06-30"
"RDY",140,0,"2015-06-30"
"RDY",800,0,"2015-06-30"
"RDY",400,0,"2017-09-30"
"RDY",311,0,"2017-09-30"
"RDY",180,0,"2017-09-30"
"RDY",824,0,"2017-09-30"
"RDY",301,0,"2017-09-30"
"RDY",504,0,"2017-09-30"
"RDY",325,0,"2017-09-30"
"RDY",810,0,"2017-09-30"
"RDY",820,0,"2017-09-30"
"RDY",700,0,"2017-09-30"
"RDY",142,0,"2017-09-30"
"RDY",821,0,"2017-09-30"
"RDY",170,0,"2017-09-30"
"RDY",302,0,"2017-09-30"
"RDY",710,141.228261,"2017-09-30"
"RDY",830,0,"2017-09-30"
"RDY",371,0,"2017-09-30"
"RDY",420,0,"2017-09-30"
"RDY",800,0,"2017-09-30"
"RDY",149,0,"2017-09-30"
"RDY",822,0,"2017-09-30"
"RDY",304,0,"2017-09-30"
"RDY",340,0,"2017-09-30"
"RDY",361,0,"2017-09-30"
"RDY",314,0,"2017-09-30"
"RDY",192,0,"2017-09-30"
"RDY",712,0,"2017-09-30"
"RDY",160,0,"2017-09-30"
"RDY",352,0,"2017-09-30"
"RDY",110,0,"2017-09-30"
"RDY",834,0,"2017-09-30"
"RDY",460,0,"2017-09-30"
"RDY",141,0,"2017-09-30"
"RDY",430,0,"2017-09-30"
"RDY",713,0,"2017-09-30"
"RDY",100,0,"2017-09-30"
"RDY",330,0,"2017-09-30"
"RDY",421,0,"2017-09-30"
"RDY",901,0,"2017-09-30"
"RDY",320,0,"2017-09-30"
"RDY",148,0,"2017-09-30"
"RDY",143,0,"2017-09-30"
"RDY",711,7.402174,"2017-09-30"
"RDY",303,0,"2017-09-30"
"RDY",101,0,"2017-09-30"
"RDY",350,0,"2017-09-30"
"RDY",145,0,"2017-09-30"
"RDY",360,0,"2017-09-30"
"RDY",147,0,"2017-09-30"
"RDY",715,66.445652,"2017-09-30"
"RDY",450,0,"2017-09-30"
"RDY",190,0,"2017-09-30"
"RDY",326,0,"2017-09-30"
"RDY",370,0,"2017-09-30"
"RDY",305,0,"2017-09-30"
"RDY",300,0,"2017-09-30"
"RDY",410,0,"2017-09-30"
"RDY",313,0,"2017-09-30"
"RDY",130,0,"2017-09-30"
"RDY",321,0,"2017-09-30"
"RDY",312,0,"2017-09-30"
"RDY",502,0,"2017-09-30"
"RDY",140,0,"2017-09-30"
"RDY",171,0,"2017-09-30"
"RDY",833,0,"2017-09-30"
"RDY",501,0,"2017-09-30"
"RDY",310,0,"2017-09-30"
"RDY",451,0,"2017-09-30"
"RDY",831,0,"2017-09-30"
"RDY",150,0,"2017-09-30"
"RDY",146,0,"2017-09-30"
"RDY",900,0,"2017-09-30"
"RDY",315,0,"2017-09-30"
"RDY",401,0,"2017-09-30"
"RDY",823,0,"2017-09-30"
"RDY",120,0,"2017-09-30"
"RDY",180,0,"2017-06-30"
"RDY",834,0,"2017-06-30"
"RDY",712,0,"2017-06-30"
"RDY",370,0,"2017-06-30"
"RDY",430,0,"2017-06-30"
"RDY",171,0,"2017-06-30"
"RDY",320,0,"2017-06-30"
"RDY",400,0,"2017-06-30"
"RDY",420,0,"2017-06-30"
"RDY",410,0,"2017-06-30"
"RDY",350,0,"2017-06-30"
"RDY",810,0,"2017-06-30"
"RDY",149,0,"2017-06-30"
"RDY",321,0,"2017-06-30"
"RDY",824,0,"2017-06-30"
"RDY",120,0,"2017-06-30"
"RDY",710,140.747253,"2017-06-30"
"RDY",421,0,"2017-06-30"
"RDY",360,0,"2017-06-30"
"RDY",330,0,"2017-06-30"
"RDY",711,7.736264,"2017-06-30"
"RDY",361,0,"2017-06-30"
"RDY",340,0,"2017-06-30"
"RDY",141,0,"2017-06-30"
"RDY",310,0,"2017-06-30"
"RDY",146,0,"2017-06-30"
"RDY",313,0,"2017-06-30"
"RDY",190,0,"2017-06-30"
"RDY",900,0,"2017-06-30"
"RDY",311,0,"2017-06-30"
"RDY",502,0,"2017-06-30"
"RDY",148,0,"2017-06-30"
"RDY",326,0,"2017-06-30"
"RDY",315,0,"2017-06-30"
"RDY",301,0,"2017-06-30"
"RDY",150,0,"2017-06-30"
"RDY",820,0,"2017-06-30"
"RDY",302,0,"2017-06-30"
"RDY",451,0,"2017-06-30"
"RDY",715,64.681319,"2017-06-30"
"RDY",901,0,"2017-06-30"
"RDY",304,0,"2017-06-30"
"RDY",143,0,"2017-06-30"
"RDY",460,0,"2017-06-30"
"RDY",831,0,"2017-06-30"
"RDY",305,0,"2017-06-30"
"RDY",145,0,"2017-06-30"
"RDY",822,0,"2017-06-30"
"RDY",800,0,"2017-06-30"
"RDY",192,0,"2017-06-30"
"RDY",830,0,"2017-06-30"
"RDY",303,0,"2017-06-30"
"RDY",142,0,"2017-06-30"
"RDY",170,0,"2017-06-30"
"RDY",325,0,"2017-06-30"
"RDY",140,0,"2017-06-30"
"RDY",401,0,"2017-06-30"
"RDY",100,0,"2017-06-30"
"RDY",130,0,"2017-06-30"
"RDY",501,0,"2017-06-30"
"RDY",833,0,"2017-06-30"
"RDY",823,0,"2017-06-30"
"RDY",300,0,"2017-06-30"
"RDY",450,0,"2017-06-30"
"RDY",352,0,"2017-06-30"
"RDY",821,0,"2017-06-30"
"RDY",713,0,"2017-06-30"
"RDY",371,0,"2017-06-30"
"RDY",314,0,"2017-06-30"
"RDY",110,0,"2017-06-30"
"RDY",700,0,"2017-06-30"
"RDY",147,0,"2017-06-30"
"RDY",312,0,"2017-06-30"
"RDY",160,0,"2017-06-30"
"RDY",101,0,"2017-06-30"
"RDY",504,0,"2017-06-30"
"RDY",831,0,"2017-03-31"
"RDY",320,0,"2017-03-31"
"RDY",170,0,"2017-03-31"
"RDY",410,0,"2017-03-31"
"RDY",715,67.922222,"2017-03-31"
"RDY",303,0,"2017-03-31"
"RDY",101,0,"2017-03-31"
"RDY",325,0,"2017-03-31"
"RDY",110,0,"2017-03-31"
"RDY",401,0,"2017-03-31"
"RDY",143,0,"2017-03-31"
"RDY",400,0,"2017-03-31"
"RDY",142,0,"2017-03-31"
"RDY",352,0,"2017-03-31"
"RDY",900,0,"2017-03-31"
"RDY",311,0,"2017-03-31"
"RDY",326,0,"2017-03-31"
"RDY",314,0,"2017-03-31"
"RDY",820,0,"2017-03-31"
"RDY",160,0,"2017-03-31"
"RDY",171,0,"2017-03-31"
"RDY",180,0,"2017-03-31"
"RDY",451,0,"2017-03-31"
"RDY",501,0,"2017-03-31"
"RDY",713,0,"2017-03-31"
"RDY",302,0,"2017-03-31"
"RDY",370,0,"2017-03-31"
"RDY",140,0,"2017-03-31"
"RDY",360,0,"2017-03-31"
"RDY",901,0,"2017-03-31"
"RDY",120,0,"2017-03-31"
"RDY",150,0,"2017-03-31"
"RDY",330,0,"2017-03-31"
"RDY",700,0,"2017-03-31"
"RDY",421,0,"2017-03-31"
"RDY",147,0,"2017-03-31"
"RDY",321,0,"2017-03-31"
"RDY",305,0,"2017-03-31"
"RDY",192,0,"2017-03-31"
"RDY",450,0,"2017-03-31"
"RDY",824,0,"2017-03-31"
"RDY",710,142.111111,"2017-03-31"
"RDY",145,0,"2017-03-31"
"RDY",834,0,"2017-03-31"
"RDY",712,0,"2017-03-31"
"RDY",301,0,"2017-03-31"
"RDY",504,0,"2017-03-31"
"RDY",310,0,"2017-03-31"
"RDY",420,0,"2017-03-31"
"RDY",146,0,"2017-03-31"
"RDY",371,0,"2017-03-31"
"RDY",141,0,"2017-03-31"
"RDY",350,0,"2017-03-31"
"RDY",460,0,"2017-03-31"
"RDY",148,0,"2017-03-31"
"RDY",149,0,"2017-03-31"
"RDY",822,0,"2017-03-31"
"RDY",312,0,"2017-03-31"
"RDY",800,0,"2017-03-31"
"RDY",304,0,"2017-03-31"
"RDY",361,0,"2017-03-31"
"RDY",130,0,"2017-03-31"
"RDY",340,0,"2017-03-31"
"RDY",833,0,"2017-03-31"
"RDY",823,0,"2017-03-31"
"RDY",313,0,"2017-03-31"
"RDY",190,0,"2017-03-31"
"RDY",430,0,"2017-03-31"
"RDY",502,0,"2017-03-31"
"RDY",830,0,"2017-03-31"
"RDY",315,0,"2017-03-31"
"RDY",821,0,"2017-03-31"
"RDY",810,0,"2017-03-31"
"RDY",711,8.4,"2017-03-31"
"RDY",300,0,"2017-03-31"
"RDY",100,0,"2017-03-31"
"RDY",822,0,"2016-12-31"
"RDY",312,0,"2016-12-31"
"RDY",710,137.217391,"2016-12-31"
"RDY",100,0,"2016-12-31"
"RDY",120,0,"2016-12-31"
"RDY",823,0,"2016-12-31"
"RDY",830,0,"2016-12-31"
"RDY",141,0,"2016-12-31"
"RDY",330,0,"2016-12-31"
"RDY",305,0,"2016-12-31"
"RDY",712,0,"2016-12-31"
"RDY",501,0,"2016-12-31"
"RDY",170,0,"2016-12-31"
"RDY",401,0,"2016-12-31"
"RDY",504,0,"2016-12-31"
